Cell ID,Minute,x,y,z
4200094,42,501.01584,322.48834,503.0861
4200095,42,274.95126,512.22705,503.481
4200096,42,680.532,443.1478,505.38486
4200097,42,277.32196,711.90625,506.52536
4200098,42,315.79764,204.9155,507.5333
4200099,42,252.96426,281.93558,507.5971
4200100,42,230.40295,358.00394,507.66885
4200101,42,449.79453,660.1705,508.02594
4200102,42,616.722,702.4186,509.1487
4200103,42,856.81134,399.51718,509.29382
4200104,42,689.76294,332.87097,513.95514
4200105,42,646.00256,282.67752,515.2176
4200106,42,541.0111,593.91156,515.9286
4200107,42,734.79254,760.85846,516.6029
4200108,42,540.1173,464.10294,516.9667
4200109,42,701.81805,584.4184,517.152
4200110,42,611.5659,767.7938,517.9393
4200111,42,583.978,536.96686,519.4302
4200112,42,298.0457,633.7091,520.9712
4200113,42,357.5277,559.57086,521.84656
4200114,42,400.38968,268.47495,523.36945
4200115,42,605.25824,836.93854,523.5254
4200116,42,563.75616,350.83228,524.12854
4200117,42,656.4111,530.69867,524.3769
4200118,42,201.19548,450.33994,528.63446
4200119,42,368.56375,676.4446,530.6127
4200120,42,415.0647,521.152,531.19617
4200121,42,441.17792,814.6501,531.351
4200122,42,537.06116,717.29694,533.8467
4200123,42,826.27826,613.1094,534.2833
4200124,42,518.5773,826.3105,539.5094
4200125,42,560.53467,195.64272,539.6379
4200126,42,822.4993,363.28912,539.67426
4200127,42,739.4346,256.57013,540.17236
4200128,42,498.5833,162.0918,540.92896
4200129,42,236.89973,559.48047,541.3389
4200130,42,363.41763,220.26312,542.4178
4200131,42,416.19925,174.96474,543.2957
4200132,42,562.73865,642.6383,544.45575
4200133,42,595.20337,423.24188,544.60077
4200134,42,613.8923,196.67108,545.4466
4200135,42,846.2788,517.99475,545.50555
4200136,42,581.538,274.1448,548.6391
4200137,42,298.84088,266.82672,550.7914
4200138,42,781.3343,517.4919,554.5915
4200139,42,537.2185,280.1031,554.9351
4200140,42,768.3024,638.7177,555.2192
4200141,42,690.4335,643.43164,556.6094
4200142,42,765.3903,314.5055,557.17896
4200143,42,501.23825,523.2926,559.12573
4200144,42,288.37634,336.37283,559.593
4200145,42,685.28485,232.2307,559.6815
4200146,42,476.9174,454.26788,560.21326
4200147,42,716.9847,423.72278,560.3998
4200148,42,363.04532,731.3485,560.99176
4200149,42,324.5199,448.97208,561.6907
4200150,42,479.6804,606.3862,562.2861
4200151,42,822.96765,433.58063,562.35406
4200152,42,468.56396,371.2744,562.5517
4200153,42,435.0662,224.16133,563.40875
4200154,42,407.97565,402.46005,564.3639
4200155,42,360.07962,217.7357,567.2495
4200156,42,625.2568,606.0095,567.52136
4200157,42,471.85632,290.32788,567.8229
4200158,42,534.54236,615.13916,568.59094
4200159,42,409.07257,603.8518,573.59375
4200160,42,248.7203,393.36533,575.63086
4200161,42,260.52563,487.32678,579.5654
4200162,42,548.9801,386.24576,580.8762
4200163,42,401.4893,284.43256,580.99713
4200164,42,589.836,486.84097,581.2933
4200165,42,723.9708,693.57733,581.6856
4200166,42,658.8618,301.89417,582.5029
4200167,42,351.3092,302.6644,588.1174
4200168,42,638.00806,225.32289,588.38525
4200169,42,534.08954,516.67017,589.1881
4200170,42,498.78687,216.1094,591.9418
4200171,42,584.6298,661.44855,592.90314
4200172,42,615.9775,275.82053,593.9889
4200173,42,477.11804,764.6981,594.0683
4200174,42,441.08926,703.78485,596.7898
4200175,42,589.0765,770.367,597.2648
4200176,42,668.47205,495.48438,598.3871
4200177,42,757.89685,368.4646,599.92664
4200178,42,641.34235,719.9547,600.9825
4200179,42,330.94904,611.8885,603.5474
4200180,42,528.5901,312.362,607.3725
4200181,42,646.4852,422.18365,607.66187
4200182,42,513.04834,428.2493,608.9415
4200183,42,586.0305,245.64102,609.22784
4200184,42,524.9775,632.6019,609.528
